metric,n_pairs,mean_diff,ci95_low,ci95_high,paired_ttest_p,analysis,model_label,train_setting,comparison,interpretation
rouge1,1999,0.026196483470043806,0.022928508210002783,0.029701434086029207,6.698547236777188e-50,degradation,bart_base,clean_trained,clean_minus_easy,positive means performance drops under noise
rouge2,1999,0.014812998771815192,0.012981584139499134,0.016521872068004557,1.8154424186708858e-56,degradation,bart_base,clean_trained,clean_minus_easy,positive means performance drops under noise
rougeL,1999,0.012403543547323759,0.010700436782787716,0.014213353066930699,2.9627925374907847e-41,degradation,bart_base,clean_trained,clean_minus_easy,positive means performance drops under noise
bertscore_f1,1999,0.00500066197473088,0.004513139220671155,0.005549208374844007,2.5661917757844542e-67,degradation,bart_base,clean_trained,clean_minus_easy,positive means performance drops under noise
rouge1,1999,0.04311151976648486,0.0395024327449832,0.04678959965722792,4.966319623069103e-112,degradation,bart_base,clean_trained,clean_minus_hard,positive means performance drops under noise
rouge2,1999,0.021261886425307578,0.019551242904229906,0.023066036823348145,3.818663440839058e-108,degradation,bart_base,clean_trained,clean_minus_hard,positive means performance drops under noise
rougeL,1999,0.01991834581015243,0.018020049040561863,0.021743425034012505,3.0914141968069245e-88,degradation,bart_base,clean_trained,clean_minus_hard,positive means performance drops under noise
bertscore_f1,1999,0.007155322175791646,0.00658700460490732,0.007746198810655633,9.530075069648149e-111,degradation,bart_base,clean_trained,clean_minus_hard,positive means performance drops under noise
rouge1,1999,0.020453222307502968,0.017011881492808596,0.023753833589105357,6.645486242417455e-32,degradation,bart_base,noise_aware,clean_minus_easy,positive means performance drops under noise
rouge2,1999,0.011017395697170328,0.009232161091657492,0.012905786433149791,4.175029478471253e-32,degradation,bart_base,noise_aware,clean_minus_easy,positive means performance drops under noise
rougeL,1999,0.008658728279337514,0.006884807224128101,0.010487155928613405,2.1655883302672517e-21,degradation,bart_base,noise_aware,clean_minus_easy,positive means performance drops under noise
bertscore_f1,1999,0.0037425653286848504,0.003161968085812353,0.004314614387379102,1.4323347949335597e-37,degradation,bart_base,noise_aware,clean_minus_easy,positive means performance drops under noise
rouge1,1999,0.023681665692927973,0.020080058996559486,0.027219134837113388,1.915017593514597e-39,degradation,bart_base,noise_aware,clean_minus_hard,positive means performance drops under noise
rouge2,1999,0.011432601062498783,0.009612844728813555,0.013243892572060883,9.94951481283781e-38,degradation,bart_base,noise_aware,clean_minus_hard,positive means performance drops under noise
rougeL,1999,0.010694468396988115,0.00884966629054918,0.012461030157659043,1.1043152131266012e-31,degradation,bart_base,noise_aware,clean_minus_hard,positive means performance drops under noise
bertscore_f1,1999,0.0038640563222036893,0.0033051429643459235,0.00437356720512184,3.895421121288984e-40,degradation,bart_base,noise_aware,clean_minus_hard,positive means performance drops under noise
