metric,n_pairs,mean_diff,ci95_low,ci95_high,paired_ttest_p,analysis,model_label,condition,comparison,interpretation
rouge1,1999,-0.01064276241676947,-0.013749392504141861,-0.007443974191737734,9.70889468001842e-13,robustness_gain,bart_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,-0.0026425729512321687,-0.004239263417595663,-0.001114103482492449,0.0005531285768928506,robustness_gain,bart_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,-0.004668902210683931,-0.006348689687735727,-0.0029958365247060633,5.756515317194573e-09,robustness_gain,bart_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,-0.0011724856807447304,-0.0016205142875979578,-0.0007171064078539477,4.705233858942806e-07,robustness_gain,bart_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,-0.004899501254228632,-0.00797292588432499,-0.0013495749966113313,0.0030139739351281673,robustness_gain,bart_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.0011530301234126984,-0.00036040164169070263,0.0026777021204002086,0.16786547459823306,robustness_gain,bart_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,-0.0009240869426976871,-0.002758556372898711,0.0008665016000898572,0.29678419384163046,robustness_gain,bart_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,8.561096530129994e-05,-0.000418000969068595,0.0006732250814917326,0.7642301026886096,robustness_gain,bart_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,0.008787091656787422,0.005545540219843023,0.011911050506482106,2.0104204889329473e-07,robustness_gain,bart_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.007186712411576624,0.005670831765405759,0.009012827593984363,2.1191942142417164e-17,robustness_gain,bart_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.0045549752024803885,0.0029129582080376763,0.006311658242207576,2.446218591392826e-07,robustness_gain,bart_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.002118780172843227,0.0015477954573545414,0.0026797723254303506,1.4576375046912596e-13,robustness_gain,bart_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
