n_pairs,mean_diff,median_diff,std_diff,cohen_dz,cliffs_delta,rank_biserial,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,bootstrap_ci95_low,bootstrap_ci95_high,normality_stat,normality_p,normality_test,comparison,model_key,architecture,train_setting,metric,mean_additive,mean_substitutive,positive_means,metric_direction,paired_t_p_holm,wilcoxon_p_holm
500,0.03670479131578011,0.03395256936822233,0.08135778758307909,0.4511527710644633,0.303332,0.47190419161676644,10.088082643375401,6.645886806173819e-22,33072.0,6.077212997516384e-20,0.02965101767513928,0.043787433232508235,0.9969400866396464,0.47229939619565436,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,rouge1,0.2952458729130566,0.25854108159727646,additive higher than substitutive; check metric_direction,higher_is_better,8.971947188334656e-20,8.69041458644843e-18
500,0.020286429825741043,0.016144254630942854,0.043278743674864506,0.4687388797175974,0.319596,0.5046917000610168,10.481319987456455,2.290813070507215e-23,30035.0,3.0229472216668387e-22,0.016495676899083003,0.024070581382842675,0.9698892940118411,1.3042907843554959e-08,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,rouge2,0.07088808683830702,0.05060165701256598,additive higher than substitutive; check metric_direction,higher_is_better,3.482035867170967e-21,4.594879776933595e-20
500,0.014662350718437373,0.01217612346762588,0.04555778878397573,0.32184070188223524,0.207704,0.3512255489021956,7.1965768733492235,2.2802368739814703e-12,40629.5,1.0115455542844172e-11,0.010667741821200751,0.01861583215723445,0.9932997874329828,0.025379658203442318,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,rougeL,0.17985249212572413,0.16519014140728672,additive higher than substitutive; check metric_direction,higher_is_better,1.8925966054046204e-10,7.788900767990012e-10
500,0.014662350718437373,0.01217612346762588,0.04555778878397573,0.32184070188223524,0.207704,0.3512255489021956,7.1965768733492235,2.2802368739814703e-12,40629.5,1.0115455542844172e-11,0.010667741821200751,0.01861583215723445,0.9932997874329828,0.025379658203442318,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,rougeLsum,0.17985249212572413,0.16519014140728672,additive higher than substitutive; check metric_direction,higher_is_better,1.8925966054046204e-10,7.788900767990012e-10
500,0.009575457811355591,0.007620871067047119,0.0167904295136658,0.5702926064852651,0.354212,0.5801357285429142,12.752130351665903,1.9477164101935717e-32,26294.0,2.597051494509863e-29,0.00809590309560299,0.011061978867650032,0.9915318941548708,0.0059278419580856175,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,bertscore_f1,0.8318115745782853,0.8222361167669296,additive higher than substitutive; check metric_direction,higher_is_better,3.311117897329072e-30,4.414987540666768e-27
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,entity_f1_ref,0.0,0.0,additive higher than substitutive; check metric_direction,higher_is_better,,
0,,,,,,,,,,,,,,,,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,source_supported_entity_rate,0.0,,additive higher than substitutive; check metric_direction,higher_is_better,,
500,0.002,0.0,0.044721359549995794,0.044721359549995794,0.002,1.0,1.0,0.31779517611187164,0.0,0.31731050786291415,0.0,0.006,0.021116630061352892,1.943259599294236e-44,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,unsupported_entity_rate,0.002,0.0,additive higher than substitutive; check metric_direction,lower_is_better,1.0,1.0
500,0.017387933634992456,0.0,0.10405121715089219,0.16710937277914736,0.034112,0.9714285714285714,3.7366791721152652,0.00020801851972452253,3.0,0.00013567745561894934,0.00898357142857143,0.02703163865546218,0.17650462948836787,6.007438124254057e-42,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,number_f1_ref,0.021292695539754363,0.003904761904761905,additive higher than substitutive; check metric_direction,higher_is_better,0.011857055624297784,0.007950114631366481
500,-0.015257575757575758,0.0,0.1403328221512288,-0.10872421379179224,-0.020052,-0.631578947368421,-2.4311473283866767,0.015402200075548919,31.5,0.017199392578853424,-0.02800037878787879,-0.003666666666666666,0.19161492168647232,1.0991513997908137e-41,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,unsupported_number_rate,0.004666666666666666,0.01992424242424242,additive higher than substitutive; check metric_direction,lower_is_better,0.56988140279531,0.5692150710177749
500,0.05585202317191474,0.04956140350877192,0.21276133346362353,0.2625102139692311,0.188796,0.30012825651302605,5.869906832232156,7.95895411862848e-09,43654.5,6.282842155895908e-09,0.03750856330505164,0.07442670568408356,0.9952235597301153,0.1271548977235376,shapiro,easy_additive_minus_substitutive,bart_base_clean_matched,BART-base,clean_matched,source_token_support_rate,0.7706086228675098,0.714756599695595,additive higher than substitutive; check metric_direction,higher_is_better,5.730446965412505e-07,4.2723326660092174e-07
