condition,test_file,train_setting,model_key,n,context_hit@1_mean,context_hit@1_std,context_hit@10_mean,context_hit@10_std,context_hit@3_mean,context_hit@3_std,context_hit@5_mean,context_hit@5_std,context_mrr_mean,context_mrr_std,context_ndcg@1_mean,context_ndcg@1_std,context_ndcg@10_mean,context_ndcg@10_std,context_ndcg@3_mean,context_ndcg@3_std,context_ndcg@5_mean,context_ndcg@5_std,context_precision@1_mean,context_precision@1_std,context_precision@10_mean,context_precision@10_std,context_precision@3_mean,context_precision@3_std,context_precision@5_mean,context_precision@5_std,context_recall@1_mean,context_recall@1_std,context_recall@10_mean,context_recall@10_std,context_recall@3_mean,context_recall@3_std,context_recall@5_mean,context_recall@5_std,retrieval_hit@1_mean,retrieval_hit@1_std,retrieval_hit@10_mean,retrieval_hit@10_std,retrieval_hit@3_mean,retrieval_hit@3_std,retrieval_hit@5_mean,retrieval_hit@5_std,retrieval_mrr_mean,retrieval_mrr_std,retrieval_ndcg@1_mean,retrieval_ndcg@1_std,retrieval_ndcg@10_mean,retrieval_ndcg@10_std,retrieval_ndcg@3_mean,retrieval_ndcg@3_std,retrieval_ndcg@5_mean,retrieval_ndcg@5_std,retrieval_precision@1_mean,retrieval_precision@1_std,retrieval_precision@10_mean,retrieval_precision@10_std,retrieval_precision@3_mean,retrieval_precision@3_std,retrieval_precision@5_mean,retrieval_precision@5_std,retrieval_recall@1_mean,retrieval_recall@1_std,retrieval_recall@10_mean,retrieval_recall@10_std,retrieval_recall@3_mean,retrieval_recall@3_std,retrieval_recall@5_mean,retrieval_recall@5_std
clean,test_clean.jsonl,clean_matched,bart_base_clean_matched,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
clean,test_clean.jsonl,clean_matched,t5_base_clean_matched,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
clean,test_clean.jsonl,noiseaware,bart_base_noiseaware,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
clean,test_clean.jsonl,noiseaware,t5_base_noiseaware,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
easy_additive,test_noisy_easy_additive.jsonl,clean_matched,bart_base_clean_matched,500,0.576,0.49468517953715513,1.0,0.0,1.0,0.0,1.0,0.0,0.773,0.2685427907446444,0.576,0.49468517953715513,0.82418897519487,0.12397418483854981,0.5941228850959089,0.21288983010445894,0.82418897519487,0.12397418483854981,0.576,0.49468517953715513,0.5999999999999999,1.111334915764742e-16,0.6,0.19225715726059392,0.5999999999999999,1.111334915764742e-16,0.192,0.16489505984571837,1.0,0.0,0.6,0.19225715726059392,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
easy_additive,test_noisy_easy_additive.jsonl,clean_matched,t5_base_clean_matched,500,0.576,0.49468517953715513,1.0,0.0,1.0,0.0,1.0,0.0,0.773,0.2685427907446444,0.576,0.49468517953715513,0.82418897519487,0.12397418483854981,0.5941228850959089,0.21288983010445894,0.82418897519487,0.12397418483854981,0.576,0.49468517953715513,0.5999999999999999,1.111334915764742e-16,0.6,0.19225715726059392,0.5999999999999999,1.111334915764742e-16,0.192,0.16489505984571837,1.0,0.0,0.6,0.19225715726059392,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
easy_additive,test_noisy_easy_additive.jsonl,noiseaware,bart_base_noiseaware,500,0.576,0.49468517953715513,1.0,0.0,1.0,0.0,1.0,0.0,0.773,0.2685427907446444,0.576,0.49468517953715513,0.82418897519487,0.12397418483854981,0.5941228850959089,0.21288983010445894,0.82418897519487,0.12397418483854981,0.576,0.49468517953715513,0.5999999999999999,1.111334915764742e-16,0.6,0.19225715726059392,0.5999999999999999,1.111334915764742e-16,0.192,0.16489505984571837,1.0,0.0,0.6,0.19225715726059392,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
easy_additive,test_noisy_easy_additive.jsonl,noiseaware,t5_base_noiseaware,500,0.576,0.49468517953715513,1.0,0.0,1.0,0.0,1.0,0.0,0.773,0.2685427907446444,0.576,0.49468517953715513,0.82418897519487,0.12397418483854981,0.5941228850959089,0.21288983010445894,0.82418897519487,0.12397418483854981,0.576,0.49468517953715513,0.5999999999999999,1.111334915764742e-16,0.6,0.19225715726059392,0.5999999999999999,1.111334915764742e-16,0.192,0.16489505984571837,1.0,0.0,0.6,0.19225715726059392,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33333333333333326,5.55667457882371e-17,1.0,0.0,1.0,0.0,1.0,0.0
easy_substitutive,test_noisy_easy_substitutive.jsonl,clean_matched,bart_base_clean_matched,500,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,0.597,0.2803239132253709,0.312,0.463773837494839,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.312,0.463773837494839,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
easy_substitutive,test_noisy_easy_substitutive.jsonl,clean_matched,t5_base_clean_matched,500,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,0.597,0.2803239132253709,0.312,0.463773837494839,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.312,0.463773837494839,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
easy_substitutive,test_noisy_easy_substitutive.jsonl,noiseaware,bart_base_noiseaware,500,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,0.597,0.2803239132253709,0.312,0.463773837494839,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.6997305376928669,0.20957381325680624,0.312,0.463773837494839,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.33333333333333326,5.55667457882371e-17,0.312,0.463773837494839,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
