architecture,train_setting,model_key,condition,test_file,n,source_tokens_min,source_tokens_mean,source_tokens_p95,source_tokens_max,target_tokens_min,target_tokens_mean,target_tokens_p95,target_tokens_max,prediction_tokens_min,prediction_tokens_mean,prediction_tokens_p95,prediction_tokens_max,source_tokens_model_tokenizer_min,source_tokens_model_tokenizer_mean,source_tokens_model_tokenizer_p95,source_tokens_model_tokenizer_max,target_tokens_model_tokenizer_min,target_tokens_model_tokenizer_mean,target_tokens_model_tokenizer_p95,target_tokens_model_tokenizer_max,prediction_tokens_model_tokenizer_min,prediction_tokens_model_tokenizer_mean,prediction_tokens_model_tokenizer_p95,prediction_tokens_model_tokenizer_max,source_words_min,source_words_mean,source_words_p95,source_words_max,target_words_min,target_words_mean,target_words_p95,target_words_max,prediction_words_min,prediction_words_mean,prediction_words_p95,prediction_words_max,source_truncated_risk_n,source_truncated_risk_rate,target_truncated_risk_n,target_truncated_risk_rate,source_truncated_risk_model_tokenizer_n,source_truncated_risk_model_tokenizer_rate,target_truncated_risk_model_tokenizer_n,target_truncated_risk_model_tokenizer_rate
BART-base,clean_matched,bart_base_clean_matched,clean,test_clean.jsonl,500,219.0,545.792,813.6499999999994,1914.0,51.0,200.322,333.0,443.0,32.0,93.156,139.19999999999982,209.0,219.0,545.792,813.6499999999994,1914.0,51.0,200.322,333.0,443.0,32.0,93.156,139.19999999999982,209.0,176.0,381.564,465.0,465.0,46.0,165.376,269.04999999999995,288.0,29.0,80.12,122.04999999999995,172.0,7,0.014,0,0.0,7,0.014,0,0.0
BART-base,clean_matched,bart_base_clean_matched,easy_additive,test_noisy_easy_additive.jsonl,500,461.0,939.142,1283.0,2272.0,51.0,200.322,333.0,443.0,44.0,92.624,135.0,196.0,461.0,939.142,1283.0,2272.0,51.0,200.322,333.0,443.0,44.0,92.624,135.0,196.0,374.0,654.112,760.0,765.0,46.0,165.376,269.04999999999995,288.0,31.0,79.492,115.04999999999995,154.0,117,0.234,0,0.0,117,0.234,0,0.0
BART-base,clean_matched,bart_base_clean_matched,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,300.0,592.676,817.5499999999995,1353.0,51.0,200.322,333.0,443.0,40.0,92.468,134.0,207.0,300.0,592.676,817.5499999999995,1353.0,51.0,200.322,333.0,443.0,40.0,92.468,134.0,207.0,209.0,409.852,465.0,465.0,46.0,165.376,269.04999999999995,288.0,34.0,79.36,116.04999999999995,183.0,8,0.016,0,0.0,8,0.016,0,0.0
BART-base,clean_matched,bart_base_clean_matched,hard_additive,test_noisy_hard_additive.jsonl,500,538.0,922.224,1237.05,2289.0,51.0,200.322,333.0,443.0,47.0,93.31,134.0999999999999,174.0,538.0,922.224,1237.05,2289.0,51.0,200.322,333.0,443.0,47.0,93.31,134.0999999999999,174.0,392.0,662.724,763.0,765.0,46.0,165.376,269.04999999999995,288.0,36.0,78.324,116.0,154.0,100,0.2,0,0.0,100,0.2,0,0.0
BART-base,clean_matched,bart_base_clean_matched,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,327.0,573.392,740.1999999999998,1273.0,51.0,200.322,333.0,443.0,36.0,92.758,137.04999999999995,247.0,327.0,573.392,740.1999999999998,1273.0,51.0,200.322,333.0,443.0,36.0,92.758,137.04999999999995,247.0,266.0,418.148,465.0,465.0,46.0,165.376,269.04999999999995,288.0,27.0,77.108,117.0,153.0,5,0.01,0,0.0,5,0.01,0,0.0
BART-base,noiseaware,bart_base_noiseaware,clean,test_clean.jsonl,500,219.0,545.792,813.6499999999994,1914.0,51.0,200.322,333.0,443.0,40.0,90.318,142.0,245.0,219.0,545.792,813.6499999999994,1914.0,51.0,200.322,333.0,443.0,40.0,90.318,142.0,245.0,176.0,381.564,465.0,465.0,46.0,165.376,269.04999999999995,288.0,32.0,77.61,121.09999999999991,190.0,7,0.014,0,0.0,7,0.014,0,0.0
BART-base,noiseaware,bart_base_noiseaware,easy_additive,test_noisy_easy_additive.jsonl,500,461.0,939.142,1283.0,2272.0,51.0,200.322,333.0,443.0,40.0,88.144,134.0,217.0,461.0,939.142,1283.0,2272.0,51.0,200.322,333.0,443.0,40.0,88.144,134.0,217.0,374.0,654.112,760.0,765.0,46.0,165.376,269.04999999999995,288.0,31.0,75.19,119.04999999999995,179.0,117,0.234,0,0.0,117,0.234,0,0.0
BART-base,noiseaware,bart_base_noiseaware,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,300.0,592.676,817.5499999999995,1353.0,51.0,200.322,333.0,443.0,29.0,87.504,134.0,198.0,300.0,592.676,817.5499999999995,1353.0,51.0,200.322,333.0,443.0,29.0,87.504,134.0,198.0,209.0,409.852,465.0,465.0,46.0,165.376,269.04999999999995,288.0,22.0,74.98,115.04999999999995,172.0,8,0.016,0,0.0,8,0.016,0,0.0
BART-base,noiseaware,bart_base_noiseaware,hard_additive,test_noisy_hard_additive.jsonl,500,538.0,922.224,1237.05,2289.0,51.0,200.322,333.0,443.0,35.0,88.69,138.04999999999995,182.0,538.0,922.224,1237.05,2289.0,51.0,200.322,333.0,443.0,35.0,88.69,138.04999999999995,182.0,392.0,662.724,763.0,765.0,46.0,165.376,269.04999999999995,288.0,27.0,75.382,118.04999999999995,149.0,100,0.2,0,0.0,100,0.2,0,0.0
BART-base,noiseaware,bart_base_noiseaware,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,327.0,573.392,740.1999999999998,1273.0,51.0,200.322,333.0,443.0,35.0,86.362,130.0,196.0,327.0,573.392,740.1999999999998,1273.0,51.0,200.322,333.0,443.0,35.0,86.362,130.0,196.0,266.0,418.148,465.0,465.0,46.0,165.376,269.04999999999995,288.0,29.0,72.62,110.04999999999995,172.0,5,0.01,0,0.0,5,0.01,0,0.0
