metric,n_pairs,mean_diff,ci95_low,ci95_high,paired_ttest_p,analysis,model_label,condition,comparison,interpretation
rouge1,1999,-0.004316204377318,-0.007167860846978818,-0.0019443065462200068,0.0015860015155005577,robustness_gain,pegasus_arxiv,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,-0.0020223293936823153,-0.0034888802055693534,-0.0005353629234861125,0.008213160247176231,robustness_gain,pegasus_arxiv,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,-0.0008689621896935977,-0.0023729835399946054,0.0005672759407640414,0.2547140440994345,robustness_gain,pegasus_arxiv,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,-0.0007363330011906893,-0.001160185627188308,-0.00031011173536086954,0.0007577681744728501,robustness_gain,pegasus_arxiv,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,0.003279335320228401,0.000298846689240126,0.006222884385073228,0.03651751786482238,robustness_gain,pegasus_arxiv,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.004945372901925729,0.0032552611619264082,0.006480537794774809,8.965457885239127e-09,robustness_gain,pegasus_arxiv,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.002815158481878318,0.0012459021652586298,0.004501726532155396,0.0009658532090336582,robustness_gain,pegasus_arxiv,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.0012750335488693901,0.0007422548911164796,0.0018203345349635286,3.500468786574897e-06,robustness_gain,pegasus_arxiv,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,0.015143268313055158,0.011816341935672455,0.01831701417871773,2.300073172342392e-18,robustness_gain,pegasus_arxiv,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.010182243510817524,0.008354890393338246,0.011891271685724684,2.7512937055632754e-28,robustness_gain,pegasus_arxiv,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.007434893804537753,0.005619254644883145,0.009153823021833693,1.2696775646920111e-15,robustness_gain,pegasus_arxiv,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.003148279677873376,0.0025890531928733688,0.003695714129335347,8.017718212288199e-26,robustness_gain,pegasus_arxiv,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
