metric,n_pairs,mean_diff,ci95_low,ci95_high,paired_ttest_p,analysis,model_label,condition,comparison,interpretation
rouge1,1999,0.05470345663583502,0.05186786887941604,0.05746055729522271,4.646921802469646e-245,robustness_gain,t5_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.01185436588573143,0.010206422441590998,0.013432065469713879,1.1731128172290332e-49,robustness_gain,t5_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.01984952904184073,0.01825071482536984,0.021451196056190232,9.089514520681721e-113,robustness_gain,t5_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.0037609314012074244,0.003297365929795361,0.0042258777652399845,5.783283493957103e-55,robustness_gain,t5_base,clean,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,0.05291104577146659,0.0499870654051347,0.05599271098588856,4.577517450422821e-206,robustness_gain,t5_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.009698564830941461,0.008155665788168752,0.011262075999122718,5.151922107151488e-34,robustness_gain,t5_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.019094690310053303,0.01747500383751292,0.02073830394211169,1.1876106440779745e-100,robustness_gain,t5_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.0038886624553789192,0.0033318068047593153,0.004400761998731414,2.5764129440598374e-46,robustness_gain,t5_base,easy,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge1,1999,0.0549712865331229,0.05199875931873416,0.0580378911766068,2.8580969602718043e-213,robustness_gain,t5_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rouge2,1999,0.011512793463991524,0.009882465507151533,0.013290878558896095,3.1587805383934945e-41,robustness_gain,t5_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
rougeL,1999,0.020643860375644228,0.019059142248591104,0.02228881570503093,2.507496248751631e-111,robustness_gain,t5_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
bertscore_f1,1999,0.00424245901856797,0.003737831325188704,0.004781767802723889,1.880993889790692e-56,robustness_gain,t5_base,hard,noise_aware_minus_clean_trained,positive means noise-aware performs better
